example_set,dataset,accuracy,macro_f1,brier_score
2_short,IMDB,0.94,0.9384236453201971,0.06
2_short,Rotten Tomatoes,0.76,0.7584541062801933,0.24
4_short,IMDB,0.96,0.9592003263973888,0.04
4_short,Rotten Tomatoes,0.83,0.8299829982998299,0.17
6_short,IMDB,0.97,0.9694842844064693,0.03
6_short,Rotten Tomatoes,0.83,0.8298468621759585,0.17
2_long,IMDB,0.95,0.948849104859335,0.05
2_long,Rotten Tomatoes,0.77,0.7688674505074867,0.23
4_long,IMDB,0.97,0.9694842844064693,0.03
4_long,Rotten Tomatoes,0.8,0.7999199679871949,0.2
6_long,IMDB,0.97,0.9694842844064693,0.03
6_long,Rotten Tomatoes,0.82,0.8193496587715776,0.18
